,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
370,2019-08-13,11386.26,9985348008060.0,17873700.0,234790.116858,202937989800.0,11398.35,11456.16,10788.45,10892.71,33234.72968,337834,13483.5587,10050.37
371,2019-08-14,10858.12,9985348008060.0,17875950.0,234976.947991,189216930750.0,10893.36,10897.48,9928.1,10050.37,54451.847499,534507,26080.631381,10293.93
372,2019-08-15,10016.96,9985348008060.0,17878162.5,235149.733387,179309030793.75,10055.16,10460.0,9911.0,10293.93,38174.45112,373368,19588.082918,10216.02
373,2019-08-17,10359.44,9985348008060.0,17880425.0,235469.708276,186564354450.0,10331.15,10465.14,10000.0,10216.02,29000.581201,332795,14672.94974,10306.78
374,2019-08-18,10214.52,10016798869144.1,17882637.5,235597.285644,180909702268.75,10216.05,10500.0,10080.0,10306.78,24085.395172,265705,12961.478557,10915.54
375,2019-08-19,10317.6,10183488432890.0,17884862.5,235716.924042,191314374162.5,10306.17,10930.0,10258.6,10915.54,37243.319217,337022,20591.436572,10760.51
376,2019-08-20,10917.26,10183488432890.0,17887100.0,235870.060084,190846413450.0,10914.73,10949.96,10560.0,10760.51,32298.921679,305065,16017.544729,10099.88
377,2019-08-22,10129.4,10183488432890.0,17889325.0,236196.601122,181514036112.5,10140.82,10242.0,9762.0,10099.88,34059.642738,401148,17921.9543,10389.55
378,2019-08-23,10111.98,10183488432890.0,17891537.5,236371.469312,181026576425.0,10099.9,10445.0,10019.79,10389.55,27550.336173,326866,14798.816338,10134.35
379,2019-08-24,10405.81,10183488432890.0,17893775.0,236539.004265,185003739725.0,10388.16,10419.42,9890.0,10134.35,27692.456844,313227,13623.564841,10142.69
380,2019-08-25,10143.8,10183488432890.0,17895987.5,236695.323654,181483209237.5,10134.61,10333.0,9906.97,10142.69,26271.657398,289956,12885.717735,10372.25
381,2019-08-26,10135.06,10183488432890.0,17898212.5,236820.076393,185309143118.75,10142.69,10604.0,10137.93,10372.25,41687.511599,405316,22666.595452,9721.0
382,2019-08-28,10171.95,10183488432890.0,17900437.5,237137.021095,181447784718.75,10185.69,10299.0,9601.01,9721.0,42110.555375,381293,19430.822573,9498.44
383,2019-08-29,9717.82,10183488432890.0,17902650.0,237293.800357,173333457300.0,9721.0,9724.0,9320.0,9498.44,35532.69491,343887,17536.268448,9584.54
384,2019-08-30,9484.55,10183488432890.0,17904887.5,237457.338286,169881572600.0,9499.01,9696.0,9350.41,9584.54,26834.318104,259270,14227.872851,9587.47
